liquibase_pickup_districts_import_system_id,liquibase_trash_types_import_system_id,date
HUEFIV,HUEYEL,2024-03-13
HUEFIV,HUEYEL,2024-03-27
HUEFIV,HUEYEL,2024-04-10
HUEFIV,HUEYEL,2024-04-24
HUEFIV,HUEYEL,2024-05-08
HUEFIV,HUEYEL,2024-05-23
HUEFIV,HUEYEL,2024-06-05
HUEFIV,HUEYEL,2024-06-19
HUEFIV,HUEYEL,2024-07-03
HUEFIV,HUEYEL,2024-07-17
HUEFIV,HUEYEL,2024-07-31
HUEFIV,HUEYEL,2024-08-14
HUEFIV,HUEYEL,2024-08-28
HUEFIV,HUEYEL,2024-09-11
HUEFIV,HUEYEL,2024-09-25
HUEFIV,HUEYEL,2024-10-09
HUEFIV,HUEYEL,2024-10-23
HUEFIV,HUEYEL,2024-11-06
HUEFIV,HUEYEL,2024-11-20
HUEFIV,HUEYEL,2024-12-04
HUEFIV,HUEYEL,2024-12-18

HUESIX,HUEYEL,2024-01-04
HUESIX,HUEYEL,2024-01-17
HUESIX,HUEYEL,2024-01-31
HUESIX,HUEYEL,2024-02-15
HUESIX,HUEYEL,2024-02-28
HUESIX,HUEYEL,2024-03-13
HUESIX,HUEYEL,2024-03-27
HUESIX,HUEYEL,2024-04-10
HUESIX,HUEYEL,2024-04-24
HUESIX,HUEYEL,2024-05-08
HUESIX,HUEYEL,2024-05-23
HUESIX,HUEYEL,2024-06-05
HUESIX,HUEYEL,2024-06-19
HUESIX,HUEYEL,2024-07-03
HUESIX,HUEYEL,2024-07-17
HUESIX,HUEYEL,2024-07-31
HUESIX,HUEYEL,2024-08-14
HUESIX,HUEYEL,2024-08-28
HUESIX,HUEYEL,2024-09-11
HUESIX,HUEYEL,2024-09-25
HUESIX,HUEYEL,2024-10-09
HUESIX,HUEYEL,2024-10-23
HUESIX,HUEYEL,2024-11-06
HUESIX,HUEYEL,2024-11-20
HUESIX,HUEYEL,2024-12-04
HUESIX,HUEYEL,2024-12-18

HUETWO,HUEYEL,2024-01-03
HUETWO,HUEYEL,2024-01-16
HUETWO,HUEYEL,2024-01-30
HUETWO,HUEYEL,2024-02-14
HUETWO,HUEYEL,2024-02-27
HUETWO,HUEYEL,2024-03-12
HUETWO,HUEYEL,2024-03-26
HUETWO,HUEYEL,2024-04-09
HUETWO,HUEYEL,2024-04-23
HUETWO,HUEYEL,2024-05-07
HUETWO,HUEYEL,2024-05-22
HUETWO,HUEYEL,2024-06-04
HUETWO,HUEYEL,2024-06-18
HUETWO,HUEYEL,2024-07-02
HUETWO,HUEYEL,2024-07-16
HUETWO,HUEYEL,2024-07-30
HUETWO,HUEYEL,2024-08-13
HUETWO,HUEYEL,2024-08-27
HUETWO,HUEYEL,2024-09-10
HUETWO,HUEYEL,2024-09-24
HUETWO,HUEYEL,2024-10-08
HUETWO,HUEYEL,2024-10-22
HUETWO,HUEYEL,2024-11-05
HUETWO,HUEYEL,2024-11-19
HUETWO,HUEYEL,2024-12-03
HUETWO,HUEYEL,2024-12-17

HUEFOU,HUEYEL,2024-01-03
HUEFOU,HUEYEL,2024-01-16
HUEFOU,HUEYEL,2024-01-30
HUEFOU,HUEYEL,2024-02-14
HUEFOU,HUEYEL,2024-02-27
HUEFOU,HUEYEL,2024-03-12
HUEFOU,HUEYEL,2024-03-26
HUEFOU,HUEYEL,2024-04-09
HUEFOU,HUEYEL,2024-04-23
HUEFOU,HUEYEL,2024-05-07
